Symbol,Date,Close
L,7/01/2019,45.96
L,8/01/2019,45.85
L,9/01/2019,46.05
L,10/01/2019,46.39
L,11/01/2019,46.58
L,14/01/2019,46.65
L,15/01/2019,46.65
L,16/01/2019,46.68
L,17/01/2019,46.8
L,18/01/2019,47.53
L,22/01/2019,46.94
L,23/01/2019,47.26
L,24/01/2019,47.42
L,25/01/2019,47.79
L,28/01/2019,47.65
L,29/01/2019,47.73
L,30/01/2019,48.11
L,31/01/2019,47.9
L,1/02/2019,48.05
L,4/02/2019,48.01
L,5/02/2019,48.08
L,6/02/2019,48.02
L,7/02/2019,47.84
L,8/02/2019,47.47
L,11/02/2019,44.56
L,12/02/2019,45.92
L,13/02/2019,46.77
L,14/02/2019,45.88
L,15/02/2019,46.7
L,19/02/2019,47.06
L,20/02/2019,47.44
L,21/02/2019,47.53
L,22/02/2019,47.79
L,25/02/2019,47.98
L,26/02/2019,47.58
L,27/02/2019,47.57
L,28/02/2019,47.62
L,1/03/2019,47.9
L,4/03/2019,48.11
L,5/03/2019,47.93
L,6/03/2019,47.44
L,7/03/2019,46.82
L,8/03/2019,46.88
L,11/03/2019,47.2
L,12/03/2019,47.59
L,13/03/2019,47.71
L,14/03/2019,47.89
L,15/03/2019,47.78
L,18/03/2019,48.41
L,19/03/2019,48.04
L,20/03/2019,47.51
L,21/03/2019,47.93
L,22/03/2019,47.33
L,25/03/2019,47.1
L,26/03/2019,47.57
L,27/03/2019,47.73
L,28/03/2019,47.86
L,29/03/2019,47.93
L,1/04/2019,48.68
L,2/04/2019,48.19
L,3/04/2019,48.2
L,4/04/2019,48.49
L,5/04/2019,48.6
L,8/04/2019,48.59
L,9/04/2019,48.34
L,10/04/2019,48.68
L,11/04/2019,49.1
L,12/04/2019,49.28
L,15/04/2019,49.17
L,16/04/2019,49.66
L,17/04/2019,49.24
L,18/04/2019,48.82
L,22/04/2019,49.22
L,23/04/2019,49.44
L,24/04/2019,49.49
L,25/04/2019,49.68
L,26/04/2019,50.18
L,29/04/2019,50.93
L,30/04/2019,51.29
L,1/05/2019,50.3
L,2/05/2019,50.24
L,3/05/2019,50.84
L,6/05/2019,50.79
L,7/05/2019,50.16
L,8/05/2019,50.41
L,9/05/2019,50.53
L,10/05/2019,51.37
L,13/05/2019,50.17
L,14/05/2019,50.97
L,15/05/2019,51.22
L,16/05/2019,51.92
L,17/05/2019,51.78
L,20/05/2019,51.94
L,21/05/2019,52.5
L,22/05/2019,52.42
L,23/05/2019,51.87
L,24/05/2019,52.22
L,28/05/2019,51.31
L,29/05/2019,51.25
L,30/05/2019,51.33
L,31/05/2019,51.36
L,3/06/2019,52.27
L,4/06/2019,52.94
L,5/06/2019,53.44
L,6/06/2019,53.7
L,7/06/2019,53.84
L,10/06/2019,54.03
L,11/06/2019,53.59
L,12/06/2019,53.3
L,13/06/2019,53.37
L,14/06/2019,53.54
L,17/06/2019,52.94
L,18/06/2019,53.39
L,19/06/2019,53.62
L,20/06/2019,54.06
L,21/06/2019,54.07
L,24/06/2019,54.15
L,25/06/2019,54.55
L,26/06/2019,53.43
L,27/06/2019,53.77
L,28/06/2019,54.67
L,1/07/2019,55.6
L,2/07/2019,55.24
